city_topology,topology_radius,routing_algorithm,net_congestion,total_throughput,e2e_latency,throughput,net_latency,impaired_services,execution_time,fps,weak_4k,weak_8k,weak_12k,weak_24k,strong_4k,strong_8k,strong_12k,strong_24k
zurich,0.07,flatwise,0.0,1354.46,14.0,1.35,12.68,0,4.47,100.02,67,135,110,148,112,130,139,159
zurich,0.07,flatwise,0.0,1531.26,14.01,1.53,11.67,0,4.94,107.91,30,126,111,139,119,132,132,211
zurich,0.07,flatwise,0.0,1703.41,13.92,1.7,11.08,0,5.43,113.75,0,116,136,121,109,127,127,264
zurich,0.07,flatwise,0.0,1881.4,13.88,1.88,10.64,0,6.1,119.39,0,112,130,139,67,135,110,307
zurich,0.07,flatwise,0.0,2054.08,14.18,2.05,10.08,0,5.85,125.1,0,119,132,132,30,126,111,350
zurich,0.07,flatwise,0.0,2221.46,13.97,2.22,9.78,0,5.95,130.19,0,109,127,127,0,116,136,385
zurich,0.07,flatwise,0.0,2389.78,13.96,2.39,9.24,0,8.25,136.89,0,67,135,110,0,112,130,446
zurich,0.07,flatwise,0.0,2511.23,13.87,2.51,8.72,149,10.74,142.05,0,36,132,109,1,121,127,474
zurich,0.07,flatwise,0.0,2526.87,13.91,2.53,8.89,549,22.71,142.38,1,38,129,125,2,117,116,472
zurich,0.07,flatwise,0.0,2490.78,13.95,2.49,9.3,743,27.99,140.94,15,53,132,115,19,79,113,474
zurich,0.07,flatwise,0.0,2491.3,13.84,2.49,9.41,540,21.35,140.58,22,58,150,102,20,62,107,479
zurich,0.07,flatwise,0.0,2517.96,13.89,2.52,9.6,507,20.82,140.99,39,48,140,88,22,58,104,501
zurich,0.07,flatwise,0.0,2514.09,13.83,2.51,9.44,536,21.88,141.08,32,67,117,97,27,60,106,494
zurich,0.07,flatwise,0.0,2479.52,13.87,2.48,9.48,692,26.49,140.64,46,68,86,86,45,53,130,486
zurich,0.07,flatwise,0.0,2602.34,13.87,2.6,8.89,0,5.26,145.09,23,68,78,90,48,51,124,518
zurich,0.07,flatwise,0.0,2531.58,13.91,2.53,9.77,901,28.59,141.61,77,52,65,87,35,65,108,511
zurich,0.07,flatwise,0.0,2484.65,13.92,2.48,9.82,597,21.85,140.63,73,60,62,112,54,63,80,496
zurich,0.07,flatwise,0.0,2481.6,13.95,2.48,9.88,443,18.32,140.67,78,76,64,108,38,67,68,501
zurich,0.07,flatwise,0.0,2456.27,14.02,2.46,9.79,443,18.91,140.6,43,76,86,90,76,65,56,508
